latitude,longitude,price
40.7344,-73.9823,4295
40.7109,-74.0165,2395
40.7779,-73.9525,3600
40.7434,-73.9746,6200
40.7855,-73.9725,3850
40.7705,-73.9485,2600
40.7701,-73.9559,1850
40.7618,-73.9921,2600
40.6775,-73.9826,2250
40.7321,-74.0028,2900
40.7399,-73.9812,3800
40.7211,-73.9896,2100
40.7466,-73.9779,2495
40.6977,-73.9307,2800
40.7778,-73.949,3450
40.7845,-73.9487,4295
40.7078,-74.0153,3300
40.7991,-73.9403,3300
40.7633,-73.9849,3025
40.786,-73.9436,4495
40.7477,-74.0009,2600
40.8242,-73.9527,3395
40.7198,-73.9974,2050
40.6471,-73.9536,2200
40.6684,-73.952,2950
40.7707,-73.9817,6595
40.7337,-73.9775,5334
40.7395,-73.9812,3295
40.7957,-73.9727,3125
40.728,-73.9839,2650
40.73,-73.9864,2700
40.7369,-73.9928,3400
40.7674,-73.9838,3200
40.7675,-73.9607,2400
40.761,-73.999,4890
40.7612,-73.9978,5200
40.7454,-73.979,1950
40.7716,-73.9506,2775
40.7635,-73.9848,2450
40.7262,-74.0037,3695
40.7141,-74.0096,9500
40.7653,-73.9937,2300
40.8021,-73.9669,3295
40.7286,-73.9487,2900
40.728,-73.9832,3500
40.7779,-73.9515,3220
40.7727,-73.9303,1650
40.7198,-73.9974,2050
40.753,-73.9958,3200
40.6661,-73.9882,2500
40.7355,-74.0058,3795
40.7591,-73.9917,2600
40.7605,-73.9677,2800
40.7486,-73.9903,6750
40.7844,-73.9497,3105
40.7318,-73.9876,2895
40.7723,-73.953,10000
40.7807,-73.9539,2895
40.7362,-74.0043,2300
40.7306,-73.9834,2465
40.7729,-73.9504,2100
40.7568,-73.9982,2544
40.7913,-73.9399,2295
40.8006,-73.9377,2500
40.7656,-73.9886,5250
40.7656,-73.9886,5200
40.7473,-73.9775,2775
40.7619,-73.9609,2850
40.779,-73.9461,2100
40.6681,-73.9809,2350
40.7762,-73.9485,3295
40.7663,-73.8235,1650
40.7077,-74.0097,4150
40.7242,-73.9881,2250
40.6949,-73.9724,3490
40.7546,-73.919,1700
40.8159,-73.9438,2300
40.6887,-73.9851,4370
40.7056,-74.0105,4400
40.7729,-73.9512,1750
40.8438,-73.9401,2550
40.7356,-74.008,7500
40.739,-73.9821,3400
40.7482,-73.9749,5000
40.7488,-73.9956,3000
40.7074,-74.0069,5800
40.7053,-74.0103,4377
40.7747,-73.9541,2050
40.7829,-73.97710000000001,6500
40.7894,-73.9751,2300
40.7696,-73.9527,1950
40.7913,-73.9399,2295
40.7358,-73.9925,3495
40.7674,-73.9903,2880
40.7952,-73.9638,6500
40.7826,-73.9756,3650
40.7404,-73.9288,3150
40.7097,-74.0065,3000
40.7283,-73.9857,2300
40.8226,-73.9531,3695
40.7655,-73.9942,1900
40.7724,-73.9813,2650
40.6849,-73.9405,1499
40.7571,-73.9647,2600
40.7688,-73.967,6250
40.7653,-73.967,3395
40.755,-73.9636,4120
40.7855,-73.977,3599
40.7826,-73.9509,4075
40.7565,-73.969,3395
40.727,-73.9833,4500
40.7321,-74.008,6725
40.7575,-73.9677,2095
40.7456,-73.9797,3350
40.799,-73.9639,2750
40.686,-73.9547,1925
40.7285,-73.979,2900
40.7983,-73.9416,2000
40.7164,-73.8439,4200
40.7491,-73.9789,3050
40.7047,-74.0076,5600
40.7487,-73.9425,3000
40.7272,-73.9916,3500
40.761,-74.0002,4090
40.7238,-73.9898,4195
40.7472,-74.0037,3150
40.7391,-73.9936,7800
40.7807,-73.9539,2250
40.7709,-73.9917,2700
40.7427,-73.9957,2890
40.761,-73.963,1850
40.7765,-73.955,3400
40.7721,-73.9479,1700
40.7096,-74.0068,6750
40.7895,-73.9423,2300
40.749,-73.9953,2000
40.786,-73.9435,3595
40.7087,-73.9551,3660
40.7522,-74.0042,3170
40.7639,-73.9808,10825
40.7003,-73.8885,2000
40.7632,-73.9631,3995
40.7301,-73.9942,2800
40.7777,-73.9883,12350
40.7644,-73.9905,2695
40.8246,-73.9508,2700
40.7182,-74.0148,4250
40.6515,-73.9609,2600
40.7747,-73.9799,2700
40.753,-73.9959,2450
40.7653,-73.9899,4095
40.7571,-73.9647,2500
40.7253,-74.0021,3200
40.7804,-73.9553,2450
40.7282,-73.9892,2525
40.7111,-74.0055,6000
40.7699,-73.9484,2575
40.8767,-73.9177,1500
40.7778,-73.9512,8000
40.7444,-73.9754,3650
40.7984,-73.9632,1895
40.6895,-73.9566,2750
40.7535,-73.9742,2500
40.7612,-73.9978,5700
40.7151,-74.0076,9425
40.7681,-73.9544,1875
40.7489,-73.9765,2450
40.7074,-74.007,4500
40.712,-73.9951,2575
40.7611,-73.9504,2995
40.7383,-74.0019,2750
40.8386,-73.9427,2795
40.8436,-73.9413,3595
40.7459,-73.9564,3425
40.7317,-73.9743,3249
40.7611,-73.9989,2700
40.7313,-74.0029,3400
40.7061,-74.0111,5020
40.7521,-73.9743,6425
40.7771,-73.9505,2400
40.7723,-73.948,2400
40.7999,-73.9638,4000
40.7278,-73.9999,2750
40.7287,-73.981,3799
40.7716,-73.9506,2725
40.7391,-73.9936,4925
40.7664,-73.9863,2700
40.7054,-74.0095,2600
40.7329,-74.0046,2900
40.7319,-73.9817,3100
40.7621,-73.9956,3080
40.7448,-73.9816,2400
40.7074,-74.0122,3860
40.7513,-73.9721,3795
40.7984,-73.9632,1995
40.7953,-73.9629,4000
40.7645,-73.9226,1800
40.753,-73.9959,3150
40.6257,-74.0122,2100
40.7817,-73.9475,2125
40.7815,-73.9471,2150
40.7199,-73.9973,3750
40.7328,-73.9972,5195
40.7502,-73.9778,2285
40.7364,-73.9776,4870
40.694,-73.9828,4464
40.7795,-73.9482,2050
40.7645,-73.9889,3350
40.7634,-73.9638,4800
40.7942,-73.966,6025
40.7656,-73.9885,2900
40.7374,-73.9904,6000
40.7279,-73.9829,2895
40.7643,-73.9841,5895
40.7728,-73.9591,2675
40.7443,-73.9809,5100
40.7575,-73.9656,2200
