bathrooms,bedrooms,interest_level,price,Elevator,CatsAllowed,HardwoodFloors,DogsAllowed,Doorman,Dishwasher,NoFee,LaundryinBuilding,FitnessCenter,Pre-War,LaundryinUnit,RoofDeck,OutdoorSpace,DiningRoom,HighSpeedInternet,Balcony,SwimmingPool,LaundryInBuilding,NewConstruction,Terrace
1.0,1,1,2400,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1.0,2,0,3800,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,1,3495,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1.5,3,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,2795,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.0,3,0,7200,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3,0,6000,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0,2,1945,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1,0,2435,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3,0,6850,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,2785,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,0,3100,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0
1.0,0,1,2400,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0
1.0,1,0,2750,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2,0,5465,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,3150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,0,3750,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3,2,4450,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1.0,1,0,3200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2495,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,2195,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2,0,5975,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,4960,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1.0,1,0,3362,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1,1,2700,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3,0,5500,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,2,0,5425,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,2,0,3250,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,2350,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,2,0,3395,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
1.0,2,0,4000,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1.0,0,2,1495,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,4,1,5200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1,1,2900,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3,2,2200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,0,2475,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2895,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0,0,1750,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3,0,3050,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
1.0,0,0,3850,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1.0,3,1,2400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,3925,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1.0,2,2,2795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2850,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2985,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,4400,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1
1.0,1,0,3620,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,4,0,4200,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,3,0,4995,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0,1,1895,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.0,3,0,13745,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
1.0,1,0,3710,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,3300,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3,0,4350,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2175,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3,2,2850,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,0,3100,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,2850,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1.0,0,0,2065,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1.0,1,0,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,2,3000,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
1.0,1,0,3510,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,2200,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,3650,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
1.0,0,0,2547,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,1,2950,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0
1.0,2,1,3200,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.5,2,0,2500,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,0,3350,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1,0,5550,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,3104,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,3050,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1.0,1,1,2075,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,1,2795,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1.0,4,0,3295,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,0,4550,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,3500,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
1.0,0,0,1995,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,0,4599,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3.0,2,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,3200,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1
1.0,1,1,3195,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
1.0,0,0,2717,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
