item_id,Rating,voteCount,Budget,Gross worldwide,Runtime,Director_Doug Walker,Director_Alfred Hitchcock,Director_Woody Allen,Director_Steven Spielberg,Director_James Cameron,Director_Stanley Kubrick,Director_Frank Capra,Director_Robert Stevenson,Director_Martin Scorsese,Director_Orson Welles,Director_Clint Eastwood,Director_Rob Reiner,Director_Francis Ford Coppola,Director_Milos Forman,Director_Craig Mazin,Director_Nick Park,Director_Billy Wilder,Director_John Huston,Director_Krzysztof Kieslowski,Director_James Ivory
1,8.3,1118780.0,30000000.0,394436586.0,4860.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9.1,6263.0,2000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7.7,92.0,8000000.0,10292300.0,2640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8.8,29.0,20000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7.0,2568.0,8000000.0,10292300.0,3600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7.1,6201.0,8000000.0,2086101.0,6480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8.0,662969.0,29000000.0,168839459.0,7740.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7.2,337.0,8000000.0,10292300.0,6360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7.5,104712.0,11000000.0,39363635.0,7320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8.2,251.0,8000000.0,10292300.0,14340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7.6,41.0,8000000.0,10292300.0,4140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8.5,1186647.0,6000000.0,23341568.0,6360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,7.0,43821.0,15000000.0,6468498.0,5700.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,8.8,66.0,8000000.0,10292300.0,840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
