item_id,movie_title,url,title,imdb_id
1,Toy Story (1995),https://www.imdb.com/title/tt0114709/?ref_=fn_all_ttl_1,Toy Story,tt0114709
2,GoldenEye (1995),https://www.imdb.com/title/tt0205973/?ref_=fn_all_ttl_4,GoldenEye 007,tt0205973
3,Four Rooms (1995),https://www.imdb.com/title/tt2154090/?ref_=fn_all_ttl_3,Final Offer,tt2154090
4,Get Shorty (1995),https://www.imdb.com/title/tt6846960/?ref_=fn_all_ttl_3,Get Shorty,tt6846960
5,Copycat (1995),https://www.imdb.com/title/tt18382028/?ref_=fn_all_ttl_2,Copycat Killer,tt18382028
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),https://www.imdb.com/title/tt0115012/?ref_=fn_all_ttl_1,Shanghai Serenade,tt0115012
7,Twelve Monkeys (1995),https://www.imdb.com/title/tt0114746/?ref_=fn_all_ttl_1,12 Monkeys,tt0114746
8,Babe (1995),https://www.imdb.com/title/tt0072677/?ref_=fn_all_ttl_4,Babe,tt0072677
9,Dead Man Walking (1995),https://www.imdb.com/title/tt0112818/?ref_=fn_all_ttl_1,Dead Man Walking - Sein letzter Gang,tt0112818
10,Richard III (1995),https://www.imdb.com/title/tt0086193/?ref_=fn_all_ttl_4,The Tragedy of Richard III,tt0086193
11,Seven (Se7en) (1995),https://www.imdb.com/title/tt2167881/?ref_=fn_all_ttl_1,Se7en. Los 7 pecados capitales de provincia,tt2167881
12,"Usual Suspects, The (1995)",https://www.imdb.com/title/tt0114814/?ref_=fn_all_ttl_1,Die üblichen Verdächtigen,tt0114814
13,Mighty Aphrodite (1995),https://www.imdb.com/title/tt0113819/?ref_=fn_all_ttl_1,Geliebte Aphrodite,tt0113819
14,"Postino, Il (1994)",https://www.imdb.com/title/tt0345806/?ref_=fn_all_ttl_2,Il postino,tt0345806
15,Mr. Holland's Opus (1995),https://www.imdb.com/title/tt0113862/?ref_=fn_all_ttl_1,Mr. Holland's Opus,tt0113862
16,French Twist (Gazon maudit) (1995),https://www.imdb.com/title/tt0113149/?,Cerro Torre: Schrei aus Stein,tt0113149
17,From Dusk Till Dawn (1996),https://www.imdb.com/title/tt27552708/?ref_=fn_all_ttl_5,From Dusk Till Dawn: Deleted Scenes and Alternate Takes,tt27552708
18,"White Balloon, The (1995)",https://www.imdb.com/title/tt0112445/?ref_=fn_all_ttl_1,Der weiße Ballon,tt0112445
19,Antonia's Line (1995),https://www.imdb.com/title/tt0112379/?ref_=fn_all_ttl_1,Antonias Welt,tt0112379
20,Angels and Insects (1995),https://www.imdb.com/title/tt0112365/?ref_=fn_all_ttl_1,Engel und Insekten,tt0112365
21,Muppet Treasure Island (1996),https://www.imdb.com/title/tt0188924/?ref_=fn_all_ttl_2,Muppets - Die Schatzinsel,tt0188924
22,Braveheart (1995),https://www.imdb.com/title/tt0112573/?ref_=fn_all_ttl_1,Braveheart,tt0112573
23,Taxi Driver (1976),https://www.imdb.com/title/tt0075314/?ref_=fn_all_ttl_1,Taxi Driver,tt0075314
24,Rumble in the Bronx (1995),https://www.imdb.com/title/tt0113326/?ref_=fn_all_ttl_1,Rumble in the Bronx,tt0113326
25,"Birdcage, The (1996)",https://www.imdb.com/title/tt0115685/?ref_=fn_all_ttl_1,The Birdcage - Ein Paradies für schrille Vögel,tt0115685
26,"Brothers McMullen, The (1995)",https://www.imdb.com/title/tt0112585/?ref_=fn_all_ttl_1,Kleine Sünden unter Brüdern,tt0112585
27,Bad Boys (1995),https://www.imdb.com/title/tt0085210/?ref_=fn_all_ttl_5,Bad Boys - Klein und gefährlich,tt0085210
28,Apollo 13 (1995),https://www.imdb.com/title/tt6590506/?ref_=fn_all_ttl_3,Apollo 13,tt6590506
29,Batman Forever (1995),https://www.imdb.com/title/tt33009153/?ref_=fn_all_ttl_4,Batman Forever: Deleted Scenes,tt33009153
30,Belle de jour (1967),https://www.imdb.com/title/tt0061395/?ref_=fn_all_ttl_1,Belle de jour - Schöne des Tages,tt0061395
31,Crimson Tide (1995),https://www.imdb.com/title/tt5232174/?ref_=fn_all_ttl_2,All Access: On the Set of 'Crimson Tide',tt5232174
32,Crumb (1994),https://www.imdb.com/title/tt0109508/?ref_=fn_all_ttl_1,Crumb,tt0109508
33,Desperado (1995),https://www.imdb.com/title/tt0112851/?ref_=fn_all_ttl_1,Desperado,tt0112851
35,Free Willy 2: The Adventure Home (1995),https://www.imdb.com/title/tt3729018/?ref_=fn_all_ttl_4,The Free Willy Story - Keiko's Journey Home,tt3729018
36,Mad Love (1995),https://www.imdb.com/title/tt0062663/?ref_=fn_all_ttl_3,Amour fou,tt0062663
